المدينة,الاسم,أوضة_من,أوضة_الأرجح,أوضة_لـ,شقة_غرفة_من,شقة_غرفة_الأرجح,شقة_غرفة_لـ,شقة_غرفتين_من,شقة_غرفتين_الأرجح,شقة_غرفتين_لـ,فواتير_الشقة_داخلة,أكل_للفرد,الفواتير,تأمين_العربية,اشتراك_المواصلات,مصدر_الأوضة,مصدر_الشقق,مصدر_باقي_الأرقام,مرجع_سوق_الشقق_Zillow
arlington-va,أرلينجتون / الكسندريا,890,1060,1260,,2015,,,2246,,نعم,296,,,,متوقّع من إيجار HUD لشقة غرفتين بمعادلة متعلّمة من ٣٤ مدينة — مش مقيس، خطأ متوسط ١٢٪,HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2296
atlanta-ga,أتلانتا,800,953,1140,,1660,,,1820,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (82٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1665
austin-tx,أوستن,625,750,905,,1562,,,1852,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (65٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1459
baltimore-md,بالتيمور,650,836,1000,,1511,,,1857,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (51٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1799
boston-ma,بوسطن,1210,1330,1510,,2476,,,2941,,نعم,296,,,,وسيط 204 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (31٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,3118
buffalo-ny,بافالو,630,765,1500,,1139,,,1343,,نعم,296,,,,وسيط 79 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (68٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1402
charlotte-nc,شارلوت,690,795,1000,,1538,,,1686,,نعم,296,,,,وسيط 80 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (94٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1582
chicago-il,شيكاغو,900,1100,1400,,1581,,,1781,,نعم,296,,,,وسيط 88 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (73٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,2176
cincinnati-oh,سينسيناتي,650,800,1200,,1051,,,1353,,نعم,296,,,,وسيط 71 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (35٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1413
cleveland-oh,كليفلاند,680,793,850,,1058,,,1279,,نعم,296,,,,وسيط 57 إعلان أوضة مشتركة على SpareRoom، ٢٦ أغسطس ٢٠٢٦ (58٪ منها شامل الفواتير),HUD FY2026 — الإيجار العادل الرسمي، شامل الفواتير، الشريحة ٤٠٪ من السوق,خطة USDA منخفضة التكلفة، يونيو ٢٠٢٦ — متوسط بالغ ٢٠-٥٠ سنة,1310
