المدينة,أوضة,مصدر الأوضة,عينة,٪ شامل فواتير,HUD استوديو,HUD غرفة,HUD غرفتين,HUD ٣ غرف,HUD ٤ غرف,Zillow الكل,Zillow شقق,منطقة HUD
arlington-va,1060,متوقّع,,,1953,2015,2246,2835,3332,2456,2296,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area"
atlanta-ga,900,إعلانات فعلية,66,76%,1585,1660,1820,2182,2605,1855,1665,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area"
austin-tx,755,إعلانات فعلية,66,62%,1474,1562,1852,2347,2760,1647,1459,"Austin-Round Rock-San Marcos, TX MSA"
baltimore-md,825,إعلانات فعلية,60,38%,1362,1511,1857,2358,2611,1946,1799,"Baltimore-Columbia-Towson, MD MSA"
boston-ma,1313,إعلانات فعلية,154,30%,2359,2476,2941,3526,3894,3165,3118,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area"
buffalo-ny,765,إعلانات فعلية,59,68%,1105,1139,1343,1640,1869,1446,1402,"Buffalo-Cheektowaga, NY MSA"
charlotte-nc,795,إعلانات فعلية,80,94%,1469,1538,1686,2076,2637,1756,1582,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area"
chicago-il,1095,إعلانات فعلية,88,73%,1480,1581,1781,2294,2653,2253,2176,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area"
cincinnati-oh,750,إعلانات فعلية,55,38%,958,1051,1353,1785,1976,1552,1413,"Cincinnati, OH-KY-IN HUD Metro FMR Area"
cleveland-oh,800,إعلانات فعلية,44,41%,933,1058,1279,1646,1760,1476,1310,"Cleveland, OH HUD Metro FMR Area"
columbus-oh,900,إعلانات فعلية,73,55%,1111,1194,1430,1715,1927,1519,1398,"Columbus, OH HUD Metro FMR Area"
dallas-tx,813,إعلانات فعلية,66,77%,1582,1648,1931,2431,3091,1667,1504,"Dallas, TX HUD Metro FMR Area"
dearborn-mi,800,إعلانات فعلية,80,71%,1009,1122,1411,1724,1868,1531,1422,"Detroit-Warren-Livonia, MI HUD Metro FMR Area"
denver-co,950,إعلانات فعلية,60,58%,1643,1754,2089,2734,3049,1930,1774,"Denver-Aurora-Centennial, CO MSA"
des-moines-ia,780,متوقّع,,,1063,1109,1318,1794,1841,1311,1196,"Des Moines-West Des Moines, IA HUD Metro FMR Area"
hartford-ct,950,متوقّع,,,1286,1477,1865,2236,2537,2020,1921,"Hartford-West Hartford-East Hartford, CT MSA"
houston-tx,800,إعلانات فعلية,88,88%,1280,1323,1573,2116,2639,1654,1427,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area"
indianapolis-in,800,إعلانات فعلية,59,66%,1118,1267,1473,1907,2338,1571,1434,"Indianapolis-Carmel, IN HUD Metro FMR Area"
jersey-city-nj,1220,متوقّع,,,2407,2458,2763,3367,3955,3627,3597,"Jersey City, NJ HUD Metro FMR Area"
kansas-city-mo,800,متوقّع,,,1095,1197,1358,1769,2103,1546,1409,"Kansas City, MO-KS HUD Metro FMR Area"
las-vegas-nv,910,متوقّع,,,1333,1478,1735,2413,2764,1747,1523,"Las Vegas-Henderson-North Las Vegas, NV MSA"
los-angeles-ca,1170,متوقّع,,,1863,2085,2601,3298,3672,2944,2710,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area"
louisville-ky,849,إعلانات فعلية,50,68%,966,1047,1272,1625,1891,1357,1267,"Louisville, KY-IN HUD Metro FMR Area"
memphis-tn,800,إعلانات فعلية,54,54%,1060,1154,1274,1683,1959,1422,1259,"Memphis, TN-MS-AR HUD Metro FMR Area"
miami-fl,1275,إعلانات فعلية,154,85%,1828,1995,2436,3127,3613,2677,2486,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area"
milwaukee-wi,778,إعلانات فعلية,28,39%,1027,1119,1338,1648,1784,1545,1482,"Milwaukee-Waukesha, WI MSA"
minneapolis-mn,800,إعلانات فعلية,59,47%,1242,1405,1709,2262,2531,1725,1630,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area"
nashville-tn,1084,إعلانات فعلية,60,57%,1507,1578,1730,2211,2696,1820,1665,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area"
nyc-ny,1590,إعلانات فعلية,88,28%,2529,2655,2910,3644,3959,3627,3597,"New York, NY HUD Metro FMR Area"
oklahoma-city-ok,760,متوقّع,,,939,1017,1244,1675,1857,1390,1157,"Oklahoma City, OK HUD Metro FMR Area"
omaha-ne,800,متوقّع,,,1090,1148,1368,1813,2046,1420,1309,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area"
orlando-fl,900,إعلانات فعلية,66,83%,1650,1731,1972,2476,2924,1959,1788,"Orlando-Kissimmee-Sanford, FL MSA"
paterson-nj,1090,متوقّع,,,1778,2024,2324,2835,3618,3627,3597,"Bergen-Passaic, NJ HUD Metro FMR Area"
philadelphia-pa,950,إعلانات فعلية,80,59%,1397,1520,1810,2170,2423,1925,1835,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
phoenix-az,865,إعلانات فعلية,66,82%,1457,1583,1839,2452,2720,1727,1519,"Phoenix-Mesa-Chandler, AZ MSA"
pittsburgh-pa,964,إعلانات فعلية,36,33%,1001,1077,1299,1661,1789,1499,1418,"Pittsburgh, PA HUD Metro FMR Area"
portland-or,871,إعلانات فعلية,60,43%,1570,1677,1922,2619,3109,1810,1687,"Portland-Vancouver-Hillsboro, OR-WA MSA"
raleigh-nc,723,إعلانات فعلية,60,98%,1524,1596,1750,2196,2936,1683,1487,"Raleigh-Cary, NC MSA"
richmond-va,1200,إعلانات فعلية,25,88%,1442,1507,1655,2072,2553,1751,1640,"Richmond, VA HUD Metro FMR Area"
sacramento-ca,950,إعلانات فعلية,152,62%,1748,1832,2255,3002,3460,2296,1996,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area"
salt-lake-city-ut,910,متوقّع,,,1259,1456,1747,2333,2666,1647,1511,"Salt Lake City, UT HUD Metro FMR Area"
san-antonio-tx,820,متوقّع,,,1077,1177,1426,1830,2132,1425,1252,"San Antonio-New Braunfels, TX HUD Metro FMR Area"
san-diego-ca,1290,متوقّع,,,2288,2459,3001,3998,4845,3008,2727,"San Diego-Chula Vista-Carlsbad, CA MSA"
san-francisco-ca,1470,متوقّع,,,2485,2977,3604,4604,4772,3372,3106,"San Francisco, CA HUD Metro FMR Area"
seattle-wa,945,إعلانات فعلية,60,52%,2074,2146,2501,3272,3847,2282,2096,"Seattle-Bellevue, WA HUD Metro FMR Area"
silver-spring-md,1060,متوقّع,,,1953,2015,2246,2835,3332,2456,2296,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area"
st-louis-mo,900,إعلانات فعلية,54,59%,955,995,1218,1568,1812,1445,1362,"St. Louis, MO-IL HUD Metro FMR Area"
tampa-fl,945,إعلانات فعلية,66,76%,1593,1696,1977,2527,3077,2013,1809,"Tampa-St. Petersburg-Clearwater, FL MSA"
tucson-az,800,إعلانات فعلية,36,44%,967,1081,1402,1950,2245,1483,1217,"Tucson, AZ MSA"
virginia-beach-va,900,متوقّع,,,1492,1512,1713,2376,2797,1877,1725,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area"
